itemName,requested_option,received_option,mean_response
bar-tea,competitor,competitor,98.3157894736842
bar-tea,competitor,target,39.36842105263158
bar-tea,competitor,otherCategory,35.8421052631579
bar-tea,competitor,sameCategory,32.8421052631579
bar-tea,target,competitor,35.22222222222222
bar-tea,target,target,97.94444444444444
bar-tea,target,otherCategory,19.444444444444443
bar-tea,target,sameCategory,24.27777777777778
bar-tea,otherCategory,competitor,7.8125
bar-tea,otherCategory,target,8
bar-tea,otherCategory,otherCategory,98.1875
bar-tea,otherCategory,sameCategory,9.6875
bar-tea,sameCategory,competitor,23.416666666666664
bar-tea,sameCategory,target,25.208333333333336
bar-tea,sameCategory,otherCategory,27.791666666666664
bar-tea,sameCategory,sameCategory,97.58333333333333
bar-whiteWine,competitor,competitor,94.73684210526316
bar-whiteWine,competitor,target,65.10526315789474
bar-whiteWine,competitor,otherCategory,16.526315789473685
bar-whiteWine,competitor,sameCategory,20.94736842105263
bar-whiteWine,target,competitor,60.53333333333333
bar-whiteWine,target,target,95.93333333333334
bar-whiteWine,target,otherCategory,18
bar-whiteWine,target,sameCategory,29.933333333333334
bar-whiteWine,otherCategory,competitor,18.666666666666664
bar-whiteWine,otherCategory,target,18.111111111111107
bar-whiteWine,otherCategory,otherCategory,93.5
bar-whiteWine,otherCategory,sameCategory,15.722222222222221
bar-whiteWine,sameCategory,competitor,27.307692307692307
bar-whiteWine,sameCategory,target,27.846153846153847
bar-whiteWine,sameCategory,otherCategory,11.076923076923077
bar-whiteWine,sameCategory,sameCategory,98.07692307692308
bookingAgency-highClassAccommodation,competitor,competitor,95.72222222222223
bookingAgency-highClassAccommodation,competitor,target,54.94444444444444
bookingAgency-highClassAccommodation,competitor,otherCategory,14.055555555555555
bookingAgency-highClassAccommodation,competitor,sameCategory,64.88888888888889
bookingAgency-highClassAccommodation,target,competitor,67.0625
bookingAgency-highClassAccommodation,target,target,96.4375
bookingAgency-highClassAccommodation,target,otherCategory,17.625
bookingAgency-highClassAccommodation,target,sameCategory,55.75
bookingAgency-highClassAccommodation,otherCategory,competitor,57.94444444444444
bookingAgency-highClassAccommodation,otherCategory,target,51.888888888888886
bookingAgency-highClassAccommodation,otherCategory,otherCategory,91.77777777777777
bookingAgency-highClassAccommodation,otherCategory,sameCategory,40.94444444444444
