submission_id,age,comments,competitor,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,itemOrder,languages,otherCategory1,otherCategory2,responseTime,sameCategory1,sameCategory2,settingName,trialNr,trial_type
4414,33,NA,70,Graduated College,220422,1667645334005,1667645113583,male,art-drawing,"otherCategory2,otherCategory1,sameCategory1,competitor,sameCategory2",English,45,63,25955,63,41,art,1,filler
4414,33,NA,0,Graduated College,220422,1667645334005,1667645113583,male,electronics-console,"otherCategory2,competitor,sameCategory1,sameCategory2,otherCategory1",English,0,25,16726,0,0,electronics,2,main
4414,33,NA,15,Graduated College,220422,1667645334005,1667645113583,male,furniture-outdoors,"sameCategory1,competitor,otherCategory1,otherCategory2,sameCategory2",English,27,10,22456,40,44,furniture,3,main
4414,33,NA,83,Graduated College,220422,1667645334005,1667645113583,male,zoo-reptiles,"otherCategory1,sameCategory2,competitor,sameCategory1,otherCategory2",English,68,62,13909,66,81,zoo,4,main
4414,33,NA,100,Graduated College,220422,1667645334005,1667645113583,male,carRental-moving,"otherCategory2,sameCategory2,competitor,otherCategory1,sameCategory1",English,19,100,18630,61,63,carRental,5,filler
4414,33,NA,61,Graduated College,220422,1667645334005,1667645113583,male,touristInfo-clubbing,"otherCategory2,competitor,otherCategory1,sameCategory2,sameCategory1",English,24,68,14493,11,41,touristInfo,6,main
4414,33,NA,100,Graduated College,220422,1667645334005,1667645113583,male,jobCenter-engineer,"sameCategory1,competitor,otherCategory1,otherCategory2,sameCategory2",English,16,10,20365,74,88,jobCenter,7,filler
4414,33,NA,77,Graduated College,220422,1667645334005,1667645113583,male,petAdoption-hamster,"otherCategory1,otherCategory2,competitor,sameCategory2,sameCategory1",English,25,24,16282,68,58,petAdoption,8,main
4414,33,NA,46,Graduated College,220422,1667645334005,1667645113583,male,books-fantasy,"sameCategory1,otherCategory1,otherCategory2,competitor,sameCategory2",English,62,68,19103,70,59,books,9,main
4414,33,NA,81,Graduated College,220422,1667645334005,1667645113583,male,cafe-pizza,"sameCategory2,sameCategory1,otherCategory1,otherCategory2,competitor",English,69,63,16561,0,0,cafe,10,main
4414,33,NA,61,Graduated College,220422,1667645334005,1667645113583,male,plants-flowers,"sameCategory1,otherCategory2,competitor,sameCategory2,otherCategory1",English,29,36,16119,34,68,plants,11,main
4415,46,NA,12,Higher degree,225056,1667645523215,1667645298159,female,clothing-beach,"otherCategory1,otherCategory2,competitor,sameCategory1,sameCategory2",English,15,13,26483,34,21,clothing,1,main
4415,46,NA,60,Higher degree,225056,1667645523215,1667645298159,female,electronics-laptop,"otherCategory2,competitor,otherCategory1,sameCategory2,sameCategory1",English,13,13,21822,11,18,electronics,2,main
4415,46,NA,100,Higher degree,225056,1667645523215,1667645298159,female,music-hardrock,"sameCategory2,sameCategory1,otherCategory1,competitor,otherCategory2",English,100,100,9849,100,100,music,3,filler
4415,46,NA,56,Higher degree,225056,1667645523215,1667645298159,female,kidsActivities-crafts,"competitor,sameCategory2,sameCategory1,otherCategory2,otherCategory1",English,22,22,29070,61,58,kidsActivities,4,main
4415,46,NA,65,Higher degree,225056,1667645523215,1667645298159,female,touristInfo-childTheatre,"sameCategory1,competitor,otherCategory1,sameCategory2,otherCategory2",English,25,19,21545,43,14,touristInfo,5,main
