itemName,answerType,mean_response,mean_zScored
electronics-laptop,competitor,51.421052631578945,0.8559396596135013
electronics-laptop,sameCategory,23.94736842105263,-0.2848275803479822
electronics-laptop,otherCategory,17.05263157894737,-0.5711120792655192
furniture-outdoors,competitor,47.89473684210526,0.20058698398001398
furniture-outdoors,sameCategory,40.21052631578947,-0.15225277097278178
furniture-outdoors,otherCategory,42.473684210526315,-0.048334213007232306
plants-green,competitor,46.63157894736842,0.718544957566151
plants-green,sameCategory,19.36842105263158,-0.536082979577443
plants-green,otherCategory,27.05263157894737,-0.18246197798870803
cafe-pie,competitor,51.94736842105263,0.646236588946824
cafe-pie,sameCategory,41.73684210526316,0.22221213035939283
cafe-pie,otherCategory,15.473684210526315,-0.8684487193062164
