model_name,itemName,predictions,category,probs,is_few_shot,dataset,model_type
chatGPT,blanket-sleepover,"No, I don't have a spare blanket, but you can have the sleeping bag to keep warm.",competitor,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,blanket-transportation,"No, I don't have a blanket, but I can offer you the sleeping bag to wrap around the mirror for protection.",sameCategory,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,box-muffins,"No, I don't have a box, but you can use the cake container or the tote bag to carry the pastries.",competitor,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,box-bbq,"No, I don't have a box, but you can use the cake container or the tote bag to take the food home.",sameCategory,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,sugar-coffee,"No, I don't have sugar, but I have sweetener tablets, honey, agave syrup, or salt that you can use to sweeten your coffee.",fullList,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,sugar-baking,"No, I don't have sugar, but I have some sweetener tablets and agave syrup you can use if you'd like.",sameCategory,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,handkerchief-injury,"No, I don't have a handkerchief, but I do have some paper napkins you can use to clean up the knee.",mostSimilar,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,handkerchief-sauce,"No, I don't have a handkerchief, but I have some wet wipes that might help clean up the sauce on your sweater.",competitor,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,broom-renovation,"No, I don't have a broom, but you can use my hand brush to sweep.",mostSimilar,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,broom-snow,"No, I don't have a broom, but you can use the hand brush or the shovel to clear the snow.",sameCategory,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,sweatpants-sleepover,"No, I don't have sweatpants, but you can wear the leggings or shorts for the night.",sameCategory,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,sweatpants-spill,"No, I don't have sweatpants, but you can have a pair of shorts or leggings to change into.",sameCategory,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,umbrella-summer,"No, I don't have an umbrella, but you can use the plastic bike cover to shield yourself from the sun.",mostSimilar,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,umbrella-rain,"No, I don't have an umbrella, but you can use the rain jacket to keep you dry.",competitor,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,postit-board,"No, I don't have post-its, but you can use the sticky bookmarks instead.",sameCategory,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,postit-reading,"No, I don't have post-its, but you can use these sticky bookmarks.",competitor,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,pot-garden,"No, I don't have a pot, but you can use one of the old cans or even a pan if you'd like. I also have some ceramic plates that could be used as planters if you're interested.",other,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
