itemName,predictions,category,prompt
cafe-pie,"I'm sorry, I don't have any raspberry cake. But I do have raspberry pie.",competitor,one-shot QA
cafe-pie,"I'm sorry, I don't have any raspberry cake. But I do have some raspberry pie.",competitor,one-shot QA
cafe-pie,"I'm sorry, I don't have any raspberry cake. But I do have some raspberry pie.",competitor,one-shot QA
cafe-pie,"I'm sorry, I don't have raspberry cake. But I do have some raspberry pie.",competitor,one-shot QA
cafe-pie,"I'm sorry, I don't have any raspberry cake. But I do have some raspberry pie.",competitor,one-shot QA
cafe-pizza,"I'm sorry, I don't have any veggie pizza. But I do have cheese pizza.",competitor,one-shot QA
bar-whiteWine,"I'm sorry, I don't have any Sauvignon Blanc. But I do have some Chardonnay.",competitor,one-shot QA
bar-whiteWine,"I'm sorry, I don't have any Sauvignon Blanc. But I do have some Chardonnay.",competitor,one-shot QA
bar-whiteWine,"I'm sorry, I don't have any Sauvignon Blanc. But I do have some Chardonnay.",competitor,one-shot QA
bar-whiteWine,"I'm sorry, I don't have any Sauvignon Blanc. But I do have some Chardonnay.",competitor,one-shot QA
bar-whiteWine,"I'm sorry, I don't have any Sauvignon Blanc. But I do have some Chardonnay.",competitor,one-shot QA
bar-tea,"I'm sorry, I don't have any iced tea. But I do have some iced coffee.",competitor,one-shot QA
bar-tea,"I'm sorry, I don't have any iced tea. But I do have some iced coffee.",competitor,one-shot QA
bar-tea,"I'm sorry, I don't have any iced tea. But I do have some iced coffee.",competitor,one-shot QA
bar-tea,"I'm sorry, I don't have any iced tea. But I do have some iced coffee.",competitor,one-shot QA
touristInfo-childTheatre,"I'm sorry, there is no theatre performance for children today. However, the circus show is a great option for children, and the club event is family friendly.",other,one-shot QA
touristInfo-childTheatre,"I'm sorry, there isn't a theatre performance for children today. But there is a circus show and a club event with a hip hop DJ.",other,one-shot QA
touristInfo-childTheatre,"I'm sorry, I don't know of any theatre performances for children today. However, there is a circus show, a trade fair, and a club event with a hip hop DJ.",fullList,one-shot QA
touristInfo-childTheatre,"I'm sorry, there isn't a theatre performance for children today. But there is a circus show, a trade fare, and a club event with a hip hop DJ.",fullList,one-shot QA
touristInfo-clubbing,"I'm sorry, I don't have any club events with electronic music today. But we do have a club event with a hip hop DJ and live jazz music, as well as a circus show.",fullList,one-shot QA
touristInfo-clubbing,"I'm sorry, I don't have any club events with electronic music today. But we do have a hip hop DJ and a live jazz performance.",sameCategory,one-shot QA
touristInfo-clubbing,"I'm sorry, I don't have any club event with electronic music today. But we do have a club event with a hip hop DJ and live jazz music. Would either of those be of interest to you?",sameCategory,one-shot QA
touristInfo-clubbing,"I'm sorry, there isn't a club event with electronic music today. However, we are hosting a club event with a hip hop DJ as well as live jazz music and a circus show.",fullList,one-shot QA
bookingAgency-lowClassAccommodation,"I'm sorry, there are no beds available in the youth hostel for tomorrow night. We do have a room in a cheap bed-and-breakfast, a room in a budget hotel, and a suite in a four-star hotel, though.",fullList,one-shot QA
bookingAgency-lowClassAccommodation,"I'm sorry, I don't have any beds available in the youth hostel for tomorrow night. However, I do have a room available in a cheap bed-and-breakfast or a room in a budget hotel. Would either of those be suitable for you?",sameCategory,one-shot QA
bookingAgency-lowClassAccommodation,"I'm sorry, we don't have availability in the youth hostel for tomorrow night. However, we do have a room in a cheap bed-and-breakfast, a room in a budget hotel, and a suite in a four-star hotel available for tomorrow night.",fullList,one-shot QA
bookingAgency-highClassAccommodation,"I'm sorry, I don't have a single room in a five-star hotel available for tomorrow night. However, I do have a suite in a four-star hotel, an expensive apartment close to the city, and a room in a cheap bed-and-breakfast available.",fullList,one-shot QA
bookingAgency-highClassAccommodation,"I'm sorry, we don't have any single rooms in a five-star hotel available for tomorrow night. However, we do have a suite in a four-star hotel and an expensive apartment close to the city. The bed-and-breakfast also offers rooms for a more economical option.",fullList,one-shot QA
bookingAgency-highClassAccommodation,"I'm sorry, I don't have any single rooms in a five-star hotel available for tomorrow night. However, I do have a suite in a four-star hotel or an expensive apartment close to the city available.",sameCategory,one-shot QA
bookingAgency-highClassAccommodation,"I'm sorry, there isn't a single room in a five-star hotel available for tomorrow night. However, we do have a suite in a four-star hotel, an expensive apartment close to the city, and a room in a cheap bed-and-breakfast.",fullList,one-shot QA
waterSport-motor,"I'm sorry, we don't offer jet skis. However, we do have water ski equipment and rubber dinghies available for rent.",sameCategory,one-shot QA
waterSport-motor,"I'm sorry, I don't rent jet skis. But I do have water ski equipment, rubber dinghies, and kayaks available.",fullList,one-shot QA
waterSport-muscle,"I'm sorry, we don't offer canoes. We focus on kayaks, pedal boats, and water ski equipment.",fullList,one-shot QA
waterSport-muscle,"I'm sorry, we don't have canoes but we do have kayaks which are similar.",competitor,one-shot QA
waterSport-muscle,"I'm sorry, we don't have any canoes. However, we do have kayaks, pedal boats, and water ski equipment.",fullList,one-shot QA
waterSport-muscle,"I'm sorry, we don't rent canoes. However, we do offer kayaks and pedal boats for rent.",sameCategory,one-shot QA
dutyFree-smokes,"I'm sorry, I don't have any cigars. But I do have cigarettes if you're interested.",competitor,one-shot QA
dutyFree-smokes,"I'm sorry, I don't have any cigars. But I do have cigarettes.",competitor,one-shot QA
dutyFree-smokes,"I'm sorry, I don't have any cigars. But I do have cigarettes.",competitor,one-shot QA
dutyFree-smokes,"I'm sorry, I don't have any cigars. But I do have cigarettes.",competitor,one-shot QA
dutyFree-sweets,"I'm sorry, I don't have any cookies. But I do have some gingerbread.",competitor,one-shot QA
clothing-clothes,"I'm sorry, we don't have any Hawaiian shirts right now. However, we do have a great selection of shorts and sweatshirts.",sameCategory,one-shot QA
clothing-clothes,"I'm sorry, I don't have any Hawaiian shirts. But I do have some shorts.",competitor,one-shot QA
clothing-clothes,"I'm sorry, I don't have any Hawaiian shirts. But I do have some shorts and sweatshirts.",sameCategory,one-shot QA
clothing-clothes,"I'm sorry, I don't have any Hawaiian shirts. But I do have some really nice shorts and sweatshirts.",sameCategory,one-shot QA
clothing-acc,"I'm sorry, I don't have any earrings. But I do have some necklaces.",competitor,one-shot QA
clothing-acc,"I'm sorry, I don't have any earrings. But I do have some necklaces that would make a great addition to any outfit.",competitor,one-shot QA
clothing-acc,"I'm sorry, I don't have any earrings. But I do have some necklaces.",competitor,one-shot QA
clothing-acc,"I'm sorry, I don't have any earrings. But I do have some necklaces.",competitor,one-shot QA
petAdoption-dogs,"I'm sorry, we don't have any Dalmatians. However, we do have some golden retrievers and chihuahuas available for adoption.",sameCategory,one-shot QA
petAdoption-dogs,"I'm sorry, we don't have any Dalmatians at the moment. However, we do have some lovely golden retrievers!",competitor,one-shot QA
petAdoption-dogs,"I'm sorry, we don't have any Dalmatians right now. We do have some golden retrievers and chihuahuas though!",sameCategory,one-shot QA
petAdoption-dogs,"I'm sorry, we don't have any Dalmatians at the moment. However, we do have some beautiful golden retrievers that would make a great addition to your family.",competitor,one-shot QA
petAdoption-hamster,"I'm sorry, we don't have any hamsters at the moment. However, we do have some gerbils that would make wonderful pets.",competitor,one-shot QA
petAdoption-hamster,"I'm sorry, I don't have any hamsters. But I do have some gerbils!",competitor,one-shot QA
petAdoption-hamster,"I'm sorry, we don't have any hamsters. However, we do have some gerbils available for adoption.",competitor,one-shot QA
petAdoption-hamster,"I'm sorry, we don't have any hamsters. But we do have some gerbils if you're interested.",competitor,one-shot QA
petAdoption-hamster,"I'm sorry, I don't have any hamsters. However, I do have some gerbils that might make great pets.",competitor,one-shot QA
books-romance,"I'm sorry, I don't have a book of love poems. But I do have a book of French love letters.",competitor,one-shot QA
books-romance,"I'm sorry, I don't have any books of love poems. But I do have some books of French love letters if you're interested!",competitor,one-shot QA
books-romance,"I'm sorry, I don't have a book of love poems. But I do have a collection of French love letters.",competitor,one-shot QA
books-romance,"I'm sorry, I don't have any books of love poems. However, I do have books of French love letters if you're interested.",competitor,one-shot QA
books-fantasy,"I'm sorry, we don't sell psychological thrillers. However, we do have a selection of mystery and adventure novels.",sameCategory,one-shot QA
books-fantasy,"I'm sorry, I don't sell psychological thrillers. But I do have some mystery novels that are quite thrilling.",competitor,one-shot QA
books-fantasy,"I'm sorry, I don't have any psychological thrillers. But I do have some mystery novels.",competitor,one-shot QA
books-fantasy,"I'm sorry, I don't sell psychological thrillers. But I do have some mystery novels and adventure novels.",sameCategory,one-shot QA
books-fantasy,"I'm sorry, I don't have any psychological thrillers. But I do have some mystery novels and adventure novels.",sameCategory,one-shot QA
electronics-laptop,"I'm sorry, I don't have any MacBook Pros. But I do have a MacBook Air and a desktop computer.",sameCategory,one-shot QA
electronics-laptop,"I'm sorry, I don't have a MacBook Pro. But I do have a MacBook Air.",competitor,one-shot QA
