itemName,predictions,probs,category,response_option,prompt,settingName,context_nr
blanket-sleepover,"No, I don't have a spare blanket, but you can have the sleeping bag.",-0.0329087024322381,competitor,sleeping bag,one-shot CoT,blanket,context1
blanket-sleepover,"No, I don't have a spare blanket, but you can have the sleeping bag.",-0.0329087024322381,competitor,sleeping bag,one-shot CoT,blanket,context1
blanket-sleepover,"No, I don't have a spare blanket, but you can have the sleeping bag.",-0.0329087024322381,competitor,sleeping bag,one-shot CoT,blanket,context1
blanket-sleepover,"No, I don't have a spare blanket, but you can have the sleeping bag.",-0.0329087024322381,competitor,sleeping bag,one-shot CoT,blanket,context1
blanket-sleepover,"No, I don't have a spare blanket, but you can have the sleeping bag.",-0.0329087024322381,competitor,sleeping bag,one-shot CoT,blanket,context1
blanket-transportation,"No, I don't have a spare blanket, but you can have the bubble wrap and the pillow if you'd like.",-0.4262998272164,competitor,"bubble wrap, pillow",one-shot CoT,blanket,context2
blanket-transportation,"No, I don't have a spare blanket, but you can use the bubble wrap.",-0.165188902837222,competitor,bubble wrap,one-shot CoT,blanket,context2
blanket-transportation,"No, I don't have a blanket, but you can have the bubble wrap to pack your mirror.",-0.52388481081,competitor,bubble wrap,one-shot CoT,blanket,context2
blanket-transportation,"No, I don't have a blanket, but you can use the carpet.",-0.35283583029625,otherCategory,carpet,one-shot CoT,blanket,context2
blanket-transportation,"No, I don't have a blanket, but you can use the pillow and the bubble wrap to wrap the mirror.",-0.337811187629167,sameCategory,"bubble wrap, pillow",one-shot CoT,blanket,context2
box-muffins,"No, I don't have a box, but you can have the cake container.",-0.0635921505394118,competitor,cake container,one-shot CoT,box,context1
box-muffins,"No, I don't have a box, but you can take the cake container or the carton.",-0.3821421801615,sameCategory,"cake container, carton",one-shot CoT,box,context1
box-muffins,"No, I don't have a box, but you can take the cake container.",-0.0905985405688236,competitor,cake container,one-shot CoT,box,context1
box-muffins,"No, I don't have a box, but you can have the cake container.",-0.0635921505394118,competitor,cake container,one-shot CoT,box,context1
box-muffins,"No, I don't have a box, but you can have the cake container.",-0.361790265242778,competitor,cake container,one-shot CoT,box,context1
box-bbq,"No, I don't have a box, but you can take the ziplock bag or the carton.",-0.357291151466348,sameCategory,"ziplock, carton",one-shot CoT,box,context2
box-bbq,"No, I don't have a box, but you can take the carton.",-0.108570094369412,mostSimilar,carton,one-shot CoT,box,context2
box-bbq,"No, I don't have a box, but you can have the tote bag.",-0.146738245011767,otherCategory,tote,one-shot CoT,box,context2
box-bbq,"No, I don't have a box, but you can take the carton.",-0.108858615329412,mostSimilar,carton,one-shot CoT,box,context2
box-bbq,"No, I don't have a box, but you can use the carton.",-0.258373065789059,mostSimilar,carton,one-shot CoT,box,context2
sugar-coffee,"No, I don't have sugar, but we can use any of the other sweeteners like the sweetener tablets, honey, agave syrup, or salt if you'd like.",-0.56547512923195,fullList,"sweetener, honey, syrup, salt",one-shot CoT,sugar,context1
sugar-coffee,"No, I don't have sugar, but you can have one of the sweetener tablets.",-0.376100685296316,competitor,sweetener,one-shot CoT,sugar,context1
sugar-baking,"No, I don't have sugar, but you can have agave syrup or honey.",-0.298324926497448,sameCategory,"syrup, honey",one-shot CoT,sugar,context2
sugar-baking,"No, I don't have any sugar, but you can have the agave syrup.",-0.143526524246924,competitor,syrup,one-shot CoT,sugar,context2
sugar-baking,"No, I don't have sugar, but you can use the agave syrup.",-0.25130345401232,competitor,syrup,one-shot CoT,sugar,context2
sugar-baking,"No, I don't have any sugar, but you can use the agave syrup.",-0.304980690824111,competitor,syrup,one-shot CoT,sugar,context2
sugar-baking,"No, I don't have sugar, but you can have some honey or agave syrup.",-0.271662030103805,sameCategory,"syrup, honey",one-shot CoT,sugar,context2
handkerchief-injury,"No, I don't have a handkerchief, but you can use a wet wipe.",-0.472490753813286,sameCategory,wet wipes,one-shot CoT,handkerchief,context1
handkerchief-injury,"No, I don't have a handkerchief, but I do have some band aids and wet wipes that you can use.",-0.213626861988448,sameCategory,"wet wipes, bandaids",one-shot CoT,handkerchief,context1
handkerchief-injury,"No, I don't have a handkerchief, but I have some band-aids, paper napkins, and wet wipes you can use.",-0.386075711150879,sameCategory,"wet wipes, bandaids, napkins",one-shot CoT,handkerchief,context1
handkerchief-injury,"No, I don't have a handkerchief, but you can have the wet wipes.",-0.129350515152737,sameCategory,wet wipes,one-shot CoT,handkerchief,context1
handkerchief-injury,"No, I don't have a handkerchief, but you can have the wet wipes.",-0.109172905730727,sameCategory,wet wipes,one-shot CoT,handkerchief,context1
handkerchief-sauce,"No, I don't have a handkerchief, but you can use the wet wipes.",-0.189484026355579,competitor,wet wipes,one-shot CoT,handkerchief,context2
handkerchief-sauce,"No, I don't have a handkerchief, but here are some wet wipes that can help you clean the stain.",-0.477302870870593,competitor,wet wipes,one-shot CoT,handkerchief,context2
handkerchief-sauce,"No, I don't have a handkerchief, but you can have the wet wipes.",-0.145421915202947,competitor,wet wipes,one-shot CoT,handkerchief,context2
handkerchief-sauce,"No, I don't have a handkerchief, but you can use the wet wipes.",-0.172012970125455,competitor,wet wipes,one-shot CoT,handkerchief,context2
handkerchief-sauce,"No, I don't have a handkerchief, but if it's okay I can offer you some wet wipes.",-0.640547299833308,competitor,wet wipes,one-shot CoT,handkerchief,context2
broom-renovation,"No, I don't have a broom, but you can have the hand brush.",-0.450297663512941,mostSimilar,hand brush,one-shot CoT,broom,context1
