itemName,settingName,vignette_start,vignette_continuation,question,taciturn,answer_template,type,target,competitor,sameCategory1,sameCategory2,otherCategory1,otherCategory2
jobCenter-office,jobCenter,You are working at the job center consultation desk and help people find open vacancies. Please move all sliders all the way to the right. Currently the following positions are available at local businesses:,A man walks in and asks:,Is there an open accountant job?,"I'm sorry, there is no accountant job open.",There is *.,filler,an accountant job,a bookkeeper job,a front desk secretary job,a manager assistant job,a carpenter job,a car mechanic job
jobCenter-engineer,jobCenter,You are working at the job center consultation desk and help people find open vacancies. Please move all sliders all the way to the right. Currently the following positions are available at local businesses:,A man walks in and asks:,Is there an electrical mechanic job open?,"I'm sorry, there is no electrical mechanic job open.",There is *.,filler,an electrical mechanic job,an electrician job,a car mechanic job,an electrical engineer job,a secretary job,a bookkeeper job
art-painting,art,You work at an art shop. You are hosting an exhibition sale by a local artist. The artist has,Please move all sliders all the way to the left. A customer takes a look around and asks:,Are there any acrylic paintings for sale?,"I’m sorry, there are no acrylic paintings.",There are *.,filler,acrylic paintings,gouache paintings,watercolor paintings,oil paintings,pencil drawings,charcoal drawings
art-drawing,art,You work at an art shop. You are hosting an exhibition sale by a local artist. The artist has,Please move all sliders all the way to the left. A customer takes a look around and asks:,Are there any ink drawings for sale?,"I’m sorry, there are no ink drawings.",There are *.,filler,ink drawings,pencil drawings,charcoal drawings,crayon drawings,gouache paintings,oil paintings
carRental-fun,carRental,"You are working in a private car rental agency. Please move all sliders all the way to the right. For today, the following types of vehicles are still available on site:",A young man walks in and asks:,Do you have a Porsche for rent today?,"I'm sorry, we don’t have a Porsche on site today.",We have *.,filler,a Porsche,a Ferrari,a fully overhauled Ford Mustang from 1968,a BMW convertible,a medium-sized delivery truck,a Volkswagen camper
carRental-moving,carRental,"You are working in a private car rental agency. Please move all sliders all the way to the right. For today, the following types of vehicles are still available on site:",A young man walks in and asks:,Is a moving truck available on site?,"I'm sorry, we don’t have a moving truck on site today.",We have *.,filler,a moving truck,a medium-sized delivery truck,a Dodge RAM pick-up truck,a Volkswagen camper,a BMW convertible,a Ferrari
music-hardrock,music,You are driving in a car with your neighbor. Please move all sliders all the way to the left. The car only has an old CD player. You have the following styles of music:,Your neighbor asks:,Do you have any hard rock?,"I'm sorry, I don't have any hard rock.",I have some *.,filler,hard rock,classic rock,heavy metal,power metal,cool jazz,bluegrass
music-softrock,music,You are driving in a car with your neighbor. Please move all sliders all they way to the left. The car only has an old CD player. You have the following styles of music:,Your neighbor asks:,Do you have any soft rock?,"I'm sorry, I don't have any soft rock.",I have some *.,filler,soft rock,cool jazz,soul jazz,ambient,death metal,classic rock
airport-usa,airport,You are a customer service agent helping to book flights. Today there is ,Please move all sliders all the way to the right. A customer asks:,Do you have an afternoon flight to Boston?,"I'm sorry, we don't have an afternoon flight to Boston today.",We have *.,filler,an afternoon flight to Boston,a morning flight to Boston,an afternoon flight to San Francisco,an evening flight to Los Angeles,a flight to Australia,a flight to Europe
airport-europe-UPDATED,airport,You are a customer service agent helping to book flights. Today there is,Please move all sliders all the way to the left. A customer asks:,Do you have a morning flight to Madrid?,"I'm sorry, we don't have a morning flight to Madrid today.",We have *.,filler,a morning flight to Madrid,a morning flight to Barcelona with connections to other airports,an afternoon flight to Madrid,an evening flight to Paris,a flight to New York,a flight to Toronto
